,Unnamed: 0,soldPrice,bednumber,propertyType,duration_free_not_lease,isNew,latitude,longitude,nearest_hospital_distance
56,56,115000,1,Flat,0,0,51.286797647583896,-2.8209703724613195,0.021107121193093797
57,57,375000,4,Detached,1,0,51.2877990331569,-2.81017589126394,0.010303029032802948
58,58,377000,4,Detached,1,0,51.2878153127419,-2.8130154937283303,0.013142322037302135
59,59,120000,2,Flat,0,0,51.286382972698796,-2.81339170043662,0.01351954625000316
60,60,320000,3,Detached,1,0,51.287766549192106,-2.8212887941201497,0.021414096002232957
61,61,296500,4,Detached,1,0,51.2877198974836,-2.81251191002167,0.012637240621302972
62,62,60000,1,Flat,0,0,51.286797647583896,-2.8209703724613195,0.021107121193093797
63,63,185000,3,Semi-Detached,1,0,51.28634444921021,-2.8111683938056897,0.01129594904911073
64,64,250000,2,Detached,1,0,51.2882116100529,-2.8024968608709706,0.0026216729892216285
65,65,200000,3,Semi-Detached,1,0,51.28634444921021,-2.8111683938056897,0.01129594904911073
66,66,335000,4,Detached,1,0,51.2877990331569,-2.81017589126394,0.010303029032802948
67,67,229000,3,Semi-Detached,1,0,51.2865908916778,-2.8222429095932,0.02237319654535871
68,68,173000,3,Terraced,1,0,51.2862800975714,-2.82040190052117,0.020527221379318342
69,69,450000,4,Detached,1,0,51.285426813123294,-2.81898144646259,0.019116593370321646
70,70,53000,1,Flat,0,0,51.286797647583896,-2.8209703724613195,0.021107121193093797
71,71,229950,3,Semi-Detached,1,0,51.286797580899496,-2.8222609415757995,0.022396968743133572
72,72,87000,1,Flat,0,0,51.287296000000005,-2.815401,0.015527435596354056
73,73,200000,2,Terraced,1,0,51.2868358719655,-2.81936500999516,0.01950256229918622
74,74,315000,4,Semi-Detached,1,0,51.2865908916778,-2.8222429095932,0.02237319654535871
75,75,140000,3,Terraced,1,0,51.2862800975714,-2.82040190052117,0.020527221379318342
76,76,210000,3,Detached,1,0,51.285426813123294,-2.81898144646259,0.019116593370321646
77,77,486000,4,Semi-Detached,1,0,51.2864245386288,-2.81387997959378,0.01400868561043913
78,78,315000,4,Detached,1,0,51.2880970532874,-2.8086897704412697,0.0088156384786836
79,79,165000,2,Terraced,1,0,51.286053399844796,-2.81810355010988,0.018227823137512117
80,80,145000,2,Semi-Detached,1,0,51.2853719069967,-2.8139617418485297,0.014103381601685923
81,81,300000,4,Detached,1,0,51.2877198974836,-2.81251191002167,0.012637240621302972
82,82,116170,2,Terraced,1,0,51.2868492740092,-2.81228144583582,0.012425806238784837
83,83,240000,3,Terraced,1,0,51.287443978453396,-2.81855846290978,0.01868306068177148
84,84,212000,3,Terraced,1,0,51.28562466821701,-2.82026116477877,0.020390331125812233
85,85,425000,5,Detached,1,0,51.2864245386288,-2.81387997959378,0.01400868561043913
86,86,218000,3,Semi-Detached,1,0,51.28817749780461,-2.81135844080574,0.011483039704608138
87,87,295000,4,Semi-Detached,1,0,51.286797580899496,-2.8222609415757995,0.022396968743133572
88,88,435000,5,Semi-Detached,1,0,51.287443978453396,-2.81855846290978,0.01868306068177148
89,89,435000,4,Detached,1,0,51.28763967095549,-2.821185,0.021309429231468283
90,90,165000,3,Terraced,1,0,51.28562466821701,-2.82026116477877,0.020390331125812233
91,91,175000,0,Terraced,1,0,51.287533512732,-2.81732682414252,0.01745110200346957
92,92,249950,3,Detached,1,0,51.286053399844796,-2.81810355010988,0.018227823137512117
93,93,250000,2,Detached,1,0,51.284750423879615,-2.81798001905069,0.018138896726556348
94,94,166500,2,Semi-Detached,1,0,51.287296000000005,-2.815401,0.015527435596354056
95,95,150000,4,Flat,0,0,51.287443978453396,-2.81855846290978,0.01868306068177148
96,96,150000,3,Terraced,1,0,51.2853719069967,-2.8139617418485297,0.014103381601685923
97,97,485000,5,Detached,1,0,51.287766549192106,-2.8212887941201497,0.021414096002232957
98,98,190000,2,Terraced,1,0,51.2868358719655,-2.81936500999516,0.01950256229918622
99,99,170000,2,Terraced,1,0,51.2868492740092,-2.81228144583582,0.012425806238784837
100,100,250000,3,Detached,1,0,51.2878153127419,-2.8130154937283303,0.013142322037302135
101,101,220000,2,Terraced,1,0,51.287766549192106,-2.8212887941201497,0.021414096002232957
102,102,250000,3,Detached,1,0,51.28817581132811,-2.80770168812443,0.00782646269657169
103,103,355000,5,Detached,1,0,51.2888046721069,-2.81942874038833,0.019560444039188444
104,104,68000,1,Flat,0,0,51.286797647583896,-2.8209703724613195,0.021107121193093797
105,105,250000,3,Flat,0,0,51.286797647583896,-2.8209703724613195,0.021107121193093797
